Timestamp,Battery_Voltage,Solar_Current,Temperature,CPU_Load,Signal_Strength,Status
01-01-2026 00:00,28.193420287452714,4.591498566606957,17.388356944959433,46,92,0
01-01-2026 00:01,28.194804734267247,4.928773361343918,23.09159394421622,53,79,0
01-01-2026 00:02,27.685127552039514,4.845646361,19.485803957127874,65,84,0
01-01-2026 00:03,28.202836580590024,4.958655286672414,21.83673317,61,83,0
01-01-2026 00:04,28.136290991721943,4.596286988300249,34.671969236870375,85,56,1
01-01-2026 00:05,28.45296587637313,4.259222259115155,22.62029889794574,55,81,0
01-01-2026 00:06,28.170740932560257,5.208297046383858,24.34447884631263,42,97,0
01-01-2026 00:07,28.317574316120314,5.385652569395459,24.080187970729327,27,84,0
01-01-2026 00:08,28.143123277279063,4.283130017000738,22.487500167919226,38,95,0
01-01-2026 00:09,28.293978732909157,5.147570464370487,20.894961798826486,68,98,0
01-01-2026 00:10,27.613864853029668,5.433273166,22.269405221690803,67,87,0
01-01-2026 00:11,27.963476662866725,5.238364418704929,20.509473958312697,59,77,0
01-01-2026 00:12,27.988305169531742,4.8333319285295735,21.50892769498457,69,92,0
01-01-2026 00:13,27.926875015919414,4.622601452099697,28.545433558951032,48,85,0
01-01-2026 00:14,28.13316598909502,5.032391231739996,22.45547425220885,57,83,0
01-01-2026 00:15,28.190313896348727,5.099114023538752,23.12561254259387,28,86,0
01-01-2026 00:16,28.117677123121343,5.0383230044623595,20.236298377424095,34,82,0
01-01-2026 00:17,27.946916835633598,4.927946147952974,24.55018354107467,28,82,0
01-01-2026 00:18,27.77928097604646,4.566939310350897,23.90068105665856,66,99,0
01-01-2026 00:19,28.32915582224687,5.169075316523541,23.918381386637712,50,81,0
01-01-2026 00:20,28.10491984498415,5.188341798,22.537228116883657,66,86,0
01-01-2026 00:21,27.69441584248018,5.080328850184669,24.585475239416926,40,92,0
01-01-2026 00:22,27.94189373750511,5.044397458028503,25.179212991586834,40,80,0
01-01-2026 00:23,27.477010096687792,5.6716997950984425,22.70774729837324,53,90,0
01-01-2026 00:24,28.01061118430423,4.7502484861706415,21.713469102499193,48,97,0
01-01-2026 00:25,27.940486017220422,5.512574038982662,24.236427475286902,38,95,0
01-01-2026 00:26,27.82765991,4.706390212311265,19.739686733600642,35,75,0
01-01-2026 00:27,28.47538005694106,5.4435802291825715,20.205099298461683,45,85,0
01-01-2026 00:28,27.653153764137365,5.493347020032218,21.866749142787747,23,75,0
01-01-2026 00:29,28.21191789,4.882779518639247,17.646607328904636,29,90,0
01-01-2026 00:30,28.65601244827956,5.664385221624333,24.068988183908562,22,83,0
01-01-2026 00:31,28.323180371115008,5.187614354698436,19.592715281335444,27,97,0
01-01-2026 00:32,27.99053836537067,4.649091023543773,20.821272446245608,29,79,0
01-01-2026 00:33,27.65977941,4.850337362244316,21.466801010800573,23,96,0
01-01-2026 00:34,27.591381347024665,5.453104922442661,22.098217053926376,22,83,0
01-01-2026 00:35,27.876534491512743,5.369225881,21.140866808942395,60,98,0
01-01-2026 00:36,27.79389977982583,4.576783839448284,21.83157238192413,29,79,0
01-01-2026 00:37,27.784135927312562,4.944297075123801,21.850930919023966,47,81,0
01-01-2026 00:38,27.902105963358625,5.081409193110605,20.882422605932184,24,83,0
01-01-2026 00:39,27.969325872134295,4.796958164369756,20.067013855903088,67,99,0
